state,median_income,population,unemployment_rate,income_score,employment_score,population_score,business_score,rank
California,100149,39431263.0,6.14,89.76171199754928,0.0,100.0,136.1,1
Texas,79721,31290831.0,4.08,45.06247128071596,51.3715710723192,79.04307899014111,117.82,2
Florida,77735,23372215.0,3.75,40.716833329686445,59.60099750623441,58.65720634610887,98.98,3
New York,85820,19867248.0,3.83,58.40791229951204,57.605985037406484,49.63393625907146,96.24,4
Maryland,102905,6263220.0,3.35,95.79221461237172,69.57605985037407,14.611404259306768,80.96,5
Virginia,92090,8811195.0,3.28,72.12752456182578,71.3216957605985,21.170971467790935,78.75,6
Massachusetts,104828,7136171.0,4.29,100.0,46.134663341645876,16.858749996299267,75.51,7
New Jersey,104294,9500851.0,4.93,98.83153541497998,30.174563591022448,22.946438214024457,74.75,8
New Hampshire,99782,1409032.0,2.46,88.9586661123389,91.77057356608479,2.1146676631402643,74.61,9
Georgia,79991,11180878.0,3.68,45.65326798100698,61.34663341645884,27.271539527250855,70.27,10
Hawaii,100745,1446146.0,3.0,91.06584101004354,78.30423940149626,2.210214824072252,70.16,11
Pennsylvania,77545,13078751.0,4.01,40.30108750355572,53.11720698254364,32.15746874424375,69.72,12
Connecticut,96049,3675069.0,3.27,80.79035469683376,71.57107231920199,7.948407004543472,69.09,13
Illinois,83211,12710158.0,4.64,52.69906566595917,37.406483790523694,31.208554192069254,67.45,14
Colorado,97113,5957493.0,4.13,83.11853132316578,50.12468827930174,13.82433342699945,67.32,15
Washington,99389,7958180.0,4.99,88.0987286930264,28.678304239401488,18.974949441536705,65.89,16
Utah,96658,3503613.0,3.67,82.12292947637907,61.59600997506234,7.507006615882726,65.19,17
Minnesota,87117,5793151.0,3.57,61.245924596835955,64.08977556109726,13.401247488488785,63.74,18
North Carolina,73958,11046024.0,3.82,32.45224393339314,57.85536159600997,26.92436819459142,63.25,19
Wisconsin,77488,5960975.0,3.27,40.1763637557165,71.57107231920199,13.833297570297534,58.73,20
Vermont,82730,648493.0,2.52,51.64657228507035,90.27431421446383,0.1567180422949494,57.13,21
South Dakota,76881,924669.0,2.13,38.848165248025204,100.0,0.8677120800583983,56.61,22
Ohio,72212,11883304.0,4.61,28.63175860484453,38.154613466334155,29.079881664040542,55.99,23
Nebraska,76376,2005465.0,2.64,37.7431566048883,87.28179551122194,3.650138909466401,53.86,24
Tennessee,71997,7227750.0,3.71,28.161309380538718,60.59850374064838,17.094513143655803,52.8,25
Iowa,75501,3241488.0,3.03,35.828537668759985,77.55610972568579,6.832185805425829,52.39,26
North Dakota,77871,796568.0,2.71,41.014419815758956,85.53615960099751,0.5379258305959701,51.36,27
Indiana,71959,6924275.0,3.93,28.078160215312575,55.11221945137156,16.313239913504514,49.79,28
Arizona,81486,7582384.0,4.94,48.92453119187764,29.925187032418936,18.007491315503476,49.75,29
Kansas,75514,2970606.0,3.4,35.85698343581104,68.3291770573566,6.134820766691694,48.01,30
Delaware,87534,1051917.0,4.0,62.158377278396536,53.36658354114713,1.1953023461109276,47.61,31
Oregon,85220,4272371.0,4.63,57.09503074330977,37.65586034912718,9.48611542505859,47.59,32
Missouri,71589,6245466.0,4.0,27.26854992232117,53.36658354114713,14.565697941066036,47.02,33
Montana,75340,1137233.0,3.14,35.476247784512374,74.81296758104737,1.414941877879895,45.73,34
Rhode Island,83504,1112308.0,3.86,53.34018949257128,56.85785536159601,1.3507743673385955,45.63,35
Alabama,66659,5157699.0,3.44,16.481039802192512,67.33167082294264,11.76532480409601,45.49,36
Wyoming,75532,587618.0,3.12,35.896369882497105,75.31172069825436,0.0,44.68,37
Maine,76442,1405012.0,3.42,37.887573576070544,67.83042394014961,2.104318479895489,44.59,38
Idaho,81166,2001619.0,4.0,48.22432769523643,53.36658354114713,3.64023767594416,44.48,39
Oklahoma,66148,4095393.0,3.32,15.362902343493579,70.32418952618454,9.03049906876659,43.51,40
Michigan,72389,10140459.0,5.73,29.019058663924202,10.224438902743124,24.593060203284217,40.49,41
South Carolina,72350,5478831.0,4.7,28.933721362771053,35.91022443890273,12.592054633389838,38.73,42
Alaska,95665,740133.0,5.99,79.95011050086431,3.740648379052356,0.39263822949674265,34.07,43
Nevada,81134,3267467.0,5.49,48.154307345572306,16.20947630922692,6.899066758539267,32.84,44
Mississippi,59127,2943045.0,3.73,0.0,60.099750623441395,6.063867075296358,30.3,45
Arkansas,62106,3088354.0,4.04,6.518456926544276,52.36907730673316,6.437954007663286,30.19,46
New Mexico,67816,2130256.0,4.54,19.01271306973589,39.90024937655859,3.971403816505892,27.74,47
Louisiana,60986,4597740.0,4.9,4.067744688300038,30.9226932668329,10.323753087538515,24.52,48
Kentucky,64526,4588372.0,5.39,11.813745869893438,18.703241895261847,10.299635886385019,22.71,49
West Virginia,60798,1769979.0,4.66,3.6563751340233255,36.9077306733167,3.0438981717601425,19.47,50
